name,sku,selling_price,cost_price,barcode,category,brand,description,is_active
AMO-5G-13,RPT-AMO5G13-149E,110000,0,,,,Importe depuis rapport PDF operations par caissier,true
AX3,RPT-AX3-921F,80000,0,,,,Importe depuis rapport PDF operations par caissier,true
CABLE 1M,RPT-CABLE1M-ED9F,700,0,,,,Importe depuis rapport PDF operations par caissier,true
CABLE 3M,RPT-CABLE3M-0CF0,1500,0,,,,Importe depuis rapport PDF operations par caissier,true
CABLE 5M,RPT-CABLE5M-7950,3000,0,,,,Importe depuis rapport PDF operations par caissier,true
CABLE DE POE,RPT-CABLEDEPOE-37A0,10000,0,,,,Importe depuis rapport PDF operations par caissier,true
CABLE SFTP,RPT-CABLESFTP-3FB7,50000,0,,,,Importe depuis rapport PDF operations par caissier,true
CABLE SFTP/M,RPT-CABLESFTPM-C0BE,200,0,,,,Importe depuis rapport PDF operations par caissier,true
CCR2004,RPT-CCR2004-0279,290000,0,,,,Importe depuis rapport PDF operations par caissier,true
CHATEAU PRO AX,RPT-CHATEAUPRO-9704,150000,0,,,,Importe depuis rapport PDF operations par caissier,true
COFFRET 4U 530 X 240 X 400,RPT-COFFRET4U5-1023,60000,0,,,,Importe depuis rapport PDF operations par caissier,true
COMFAST EW85,RPT-COMFASTEW8-DE93,40000,0,,,,Importe depuis rapport PDF operations par caissier,true
COMFAST EW87,RPT-COMFASTEW8-BCCD,45000,0,,,,Importe depuis rapport PDF operations par caissier,true
COMFAST M2,RPT-COMFASTM2-7488,27000,0,,,,Importe depuis rapport PDF operations par caissier,true
COMFAST M5,RPT-COMFASTM5-290E,30000,0,,,,Importe depuis rapport PDF operations par caissier,true
COMFAST M5 313 900MBPS,RPT-COMFASTM53-F428,38000,0,,,,Importe depuis rapport PDF operations par caissier,true
COMPFAST EW72 V2,RPT-COMPFASTEW-4DE4,30000,0,,,,Importe depuis rapport PDF operations par caissier,true
COMPFAST EW85,RPT-COMPFASTEW-C2D6,40000,0,,,,Importe depuis rapport PDF operations par caissier,true
